{
item_treasure               "Treasure Item"
item_health_small           "Small Health"
item_health                 "Med Health"
item_health_large           "Large Health"
item_health_turkey          "Hot Meal"
item_health_breadandmeat    "Cold Meal"
item_health_wall_box        "Health"
item_health_wall            "Health"
item_stamina_stein          "Stamina"
item_stamina_brandy         "Stamina"
item_armor_body             "Flak Jacket"
item_armor_body_hang        "Flak Jacket"
item_armor_head             "Armored Helmet"
weapon_knife                "Knife"
weapon_luger                "Luger"
weapon_mauserRifle          "Mauser Rifle"
weapon_thompson             "Thompson"
weapon_sten                 "Sten"
weapon_akimbo               "Dual Colts"
weapon_colt                 "Colt"
weapon_tt33                 "TT-33"
weapon_dualtt33             "Dual TT-33s"
NOT_weapon_garandRifle      "Snooper Rifle"
weapon_m1garand             "M1 Garand"
weapon_m7                   "M7 Grenade Launcher"
weapon_mp40                 "MP40"
weapon_mp34                 "MP34"
weapon_fg42                 "FG42 Paratroop Rifle"
weapon_bar                  "Browning Automatic Rifle"
weapon_mp44                 "MP44 Sturmgewehr"
weapon_m97                  "Ithaca 37"
weapon_auto5                "Auto-5"
weapon_revolver             "Revolver"
weapon_hdm                  "HDM"
weapon_delisle              "De Lisle Carbine"
weapon_g43                  "G43 rifle"
weapon_ppsh                 "PPSh-41"
weapon_mosin                "Mosin-Nagant"
weapon_m1941                "M1941"
weapon_silencer             "sp5 pistol"
weapon_panzerfaust          "Panzerfaust"
weapon_grenadelauncher      "Grenade"
weapon_grenadepineapple     "Pineapple"
weapon_dynamite             "Dynamite Weapon"
weapon_landmine             "Landmine"
weapon_medcrate             "Medical Crate"
weapon_airstrike            "Airstrike Signal"
weapon_arty                 "Artillery"
weapon_venom                "Venom"
weapon_flamethrower         "Flamethrower"
weapon_tesla                "Tesla Gun"
weapon_mg42m                "MG42"
weapon_browning             "Browning M1919"
weapon_sniperScope          "Sniper Scope"
weapon_snooperrifle         "Snooper Rifle"
weapon_fg42scope            "FG42 Scope"
weapon_m1941scope           "M1941 Scope"
weapon_delislescope         "De Lisle Scope"
weapon_monster_attack1      "MonsterAttack1"
weapon_monster_attack2      "MonsterAttack2"
weapon_monster_attack3      "MonsterAttack3"
weapon_mortar               "nopickup(WP_MORTAR)"
ammo_9mm_small              "9mm Rounds"
ammo_9mm                    "9mm"
ammo_9mm_large              "9mm Box"
ammo_45cal_small            ".45cal Rounds"
ammo_45cal                  ".45cal"
ammo_45cal_large            ".45cal Box"
ammo_792mm_small            "7.92mm Rounds"
ammo_792mm                  "7.92mm"
ammo_792mm_large            "7.92mm Box"
ammo_30cal_small            ".30cal Rounds"
ammo_30cal                  ".30cal"
ammo_30cal_large            ".30cal Box"
ammo_127mm                  "12.7mm"
ammo_grenades               "Grenades"
ammo_grenades_american      "Pineapples"
ammo_dynamite               "Dynamite"
ammo_landmine               "Landmine"
ammo_cell                   "Cell"
ammo_fuel                   "Fuel"
ammo_panzerfaust            "Panzerfaust Rockets"
ammo_monster_attack1        "MonsterAttack1"
holdable_wine               "1921 Chateau Lafite"
holdable_adrenaline         "Adrenaline"
holdable_stamina            "Added Stamina"
holdable_book1              "Venom Tech Manual"
holdable_book2              "Project Book"
holdable_book3              "Dr. Zemph's Journal"
holdable_cross              "Holy Cross"
holdable_emp                "EMP Device"
holdable_xshield            "Shield Generator"
item_ammopw                 "Veil Ressuply"
item_enviro_surv            "Veil Shield"
item_quad                   "Veil Empower"
item_vampire                "Veil Essence Reaver"
item_venompw                "Venom"
key_binocs                  "Binoculars"
perk_resilience             "Resilience"
perk_scavenger              "Scavenger"
perk_runner                 "Marathon"
perk_weaponhandling         "Fast Hands"
perk_rifling                "Double Shot"
perk_secondchance           "Second Chance"
}
