{
end_time			"Time"
end_objectives		"Objectives"
end_secrets			"Secret Areas"
end_treasure		"Treasure"
end_attempts		"Attempts"

missionfail0		"Mission Failed"
secretarea			"You found a secret area"
objectivesnotcomplete	"Objectives not complete"
drankwine			"You drank the wine"
usedadrenaline		"You used the adrenaline"
usedcross			"You used the cross"
usedemp				"You used the EMP device"
usedshield			"You used the shield"
noitem				"No item to use"
gamesaved			"Game Saved"
noquickgrenammo		"No grenades left"

missionfail1		"Mission Failed\nYou Killed a Civilian"
missionfail2		"Mission Failed\nYou Killed a Kreisau Agent"
missionfail3		"Mission Failed\nYou Killed Kessler"
missionfail4		"Mission Failed\nYou Killed Karl"
missionfail5		"Mission Failed\nYou Have Been Detected"
missionfail6		"Mission Failed\nRocket Launched"
missionfail7		"Mission Failed\nThe Scientist Has Been Killed"
missionfail8		"Mission Failed\nTank Destroyed"
missionfail9		"Mission Failed\nYou Failed to Enter\nthe Rocket Base"
missionfail10		"fail 10"
missionfail11		"fail 11"
missionfail12		"fail 12"
missionfail13		"fail 13"
missionfail14		"fail 14"
missionfail15		"fail 15"
missionfail16		"fail 16"
end_title			"Mission Stats"
end_exit			"Proceed forward to exit..."
end_noexit			"Exit not yet available"

yes					"yes"
no					"no"
keywait				"Waiting for new key... Press ESCAPE to cancel"
keychange			"Press ENTER or CLICK to change, Press BACKSPACE to clear"
pleasewait			"Please Wait..."
dynamitetimer		"Dynamite timer set at"
second				"second"
seconds				"seconds"
minute				"minute"
minutes				"minutes"
hour				"hour"
hours				"hours"
day					"day"
days				"days"
month				"month"
months				"months"
year				"year"
years				"years"
or					"or"
item				"Item"
weapon				"Weapon"
price				"Price"
ammo_price			"Ammo Price"
survival_gameover	"Game Over"

working				"Working..."
"Complete!"			"Complete!"
"Player Slot Available"	"Player Slot Available"
"Lobby Leader:"			"Lobby Leader:"
}
